96 414
1 1 7
2 2 7
3 3 7
4 4 5
5 5 5
6 6 5
7 7 5
8 8 5
9 9 5
10 10 7
11 11 7
12 12 7
13 13 7
14 14 7
15 15 7
16 16 7
17 17 7
18 18 7
19 19 7
20 20 7
21 21 7
22 22 7
23 23 7
24 24 7
25 25 6
26 26 6
27 27 6
28 28 6
29 29 6
30 30 6
31 31 7
32 32 7
33 33 7
34 34 6
35 35 6
36 36 6
37 37 7
38 38 7
39 39 7
40 40 7
41 41 7
42 42 7
43 43 7
44 44 7
45 45 7
46 46 7
47 47 7
48 48 7
49 49 7
50 50 7
51 51 7
52 52 5
53 53 5
54 54 5
55 55 7
56 56 7
57 57 7
58 58 6
59 59 6
60 60 6
61 61 7
62 62 7
63 63 7
64 64 6
65 65 6
66 66 6
67 67 7
68 68 7
69 69 7
70 70 7
71 71 7
72 72 7
73 73 7
74 74 7
75 75 7
76 76 7
77 77 7
78 78 7
79 79 6
80 80 6
81 81 6
82 82 7
83 83 7
84 84 7
85 85 7
86 86 7
87 87 7
88 88 7
89 89 7
90 90 7
91 91 7
92 92 7
93 93 7
94 94 7
95 95 7
96 96 7
1 2 2
1 3 2
1 13 1
1 40 1
1 61 1
1 85 1
1 91 1
2 3 2
2 14 1
2 41 1
2 62 1
2 86 1
2 92 1
3 15 1
3 42 1
3 63 1
3 87 1
3 93 1
4 5 2
4 6 2
4 10 1
4 19 1
4 40 1
5 6 2
5 11 1
5 20 1
5 41 1
6 12 1
6 21 1
6 42 1
7 8 2
7 9 2
7 13 1
7 43 1
7 79 1
8 9 2
8 14 1
8 44 1
8 80 1
9 15 1
9 45 1
9 81 1
10 11 2
10 12 2
10 16 1
10 49 1
10 67 1
10 88 1
11 12 2
11 17 1
11 50 1
11 68 1
11 89 1
12 18 1
12 51 1
12 69 1
12 90 1
13 14 2
13 15 2
13 19 1
13 64 1
13 76 1
14 15 2
14 20 1
14 65 1
14 77 1
15 21 1
15 66 1
15 78 1
16 17 2
16 18 2
16 46 1
16 58 1
16 64 1
16 73 1
17 18 2
17 47 1
17 59 1
17 65 1
17 74 1
18 48 1
18 60 1
18 66 1
18 75 1
19 20 2
19 21 2
19 46 1
19 55 1
19 70 1
20 21 2
20 47 1
20 56 1
20 71 1
21 48 1
21 57 1
21 72 1
22 23 2
22 24 2
22 28 1
22 52 1
22 58 1
22 61 1
22 91 1
23 24 2
23 29 1
23 53 1
23 59 1
23 62 1
23 92 1
24 30 1
24 54 1
24 60 1
24 63 1
24 93 1
25 26 2
25 27 2
25 31 1
25 49 1
25 55 1
25 88 1
26 27 2
26 32 1
26 50 1
26 56 1
26 89 1
27 33 1
27 51 1
27 57 1
27 90 1
28 29 2
28 30 2
28 37 1
28 43 1
28 88 1
29 30 2
29 38 1
29 44 1
29 89 1
30 39 1
30 45 1
30 90 1
31 32 2
31 33 2
31 40 1
31 73 1
31 88 1
31 91 1
32 33 2
32 41 1
32 74 1
32 89 1
32 92 1
33 42 1
33 75 1
33 90 1
33 93 1
34 35 2
34 36 2
34 46 1
34 64 1
34 70 1
34 94 1
35 36 2
35 47 1
35 65 1
35 71 1
35 95 1
36 48 1
36 66 1
36 72 1
36 96 1
37 38 2
37 39 2
37 43 1
37 55 1
37 85 1
37 94 1
38 39 2
38 44 1
38 56 1
38 86 1
38 95 1
39 45 1
39 57 1
39 87 1
39 96 1
40 41 2
40 42 2
40 85 1
40 91 1
41 42 2
41 86 1
41 92 1
42 87 1
42 93 1
43 44 2
43 45 2
43 73 1
43 94 1
44 45 2
44 74 1
44 95 1
45 75 1
45 96 1
46 47 2
46 48 2
46 52 1
46 76 1
47 48 2
47 53 1
47 77 1
48 54 1
48 78 1
49 50 2
49 51 2
49 79 1
49 82 1
49 94 1
50 51 2
50 80 1
50 83 1
50 95 1
51 81 1
51 84 1
51 96 1
52 53 2
52 54 2
52 79 1
53 54 2
53 80 1
54 81 1
55 56 2
55 57 2
55 58 1
55 70 1
56 57 2
56 59 1
56 71 1
57 60 1
57 72 1
58 59 2
58 60 2
58 82 1
59 60 2
59 83 1
60 84 1
61 62 2
61 63 2
61 82 1
61 85 1
61 91 1
62 63 2
62 83 1
62 86 1
62 92 1
63 84 1
63 87 1
63 93 1
64 65 2
64 66 2
64 76 1
65 66 2
65 77 1
66 78 1
67 68 2
67 69 2
67 70 1
67 73 1
67 76 1
67 94 1
68 69 2
68 71 1
68 74 1
68 77 1
68 95 1
69 72 1
69 75 1
69 78 1
69 96 1
70 71 2
70 72 2
70 85 1
71 72 2
71 86 1
72 87 1
73 74 2
73 75 2
73 79 1
74 75 2
74 80 1
75 81 1
76 77 2
76 78 2
76 82 1
77 78 2
77 83 1
78 84 1
79 80 2
79 81 2
80 81 2
82 83 2
82 84 2
82 88 1
83 84 2
83 89 1
84 90 1
85 86 2
85 87 2
86 87 2
88 89 2
88 90 2
89 90 2
91 92 2
91 93 2
92 93 2
94 95 2
94 96 2
95 96 2
