60 258
1 1 6
2 2 6
3 3 6
4 4 7
5 5 7
6 6 7
7 7 7
8 8 7
9 9 7
10 10 6
11 11 6
12 12 6
13 13 7
14 14 7
15 15 7
16 16 5
17 17 5
18 18 5
19 19 7
20 20 7
21 21 7
22 22 7
23 23 7
24 24 7
25 25 7
26 26 7
27 27 7
28 28 6
29 29 6
30 30 6
31 31 7
32 32 7
33 33 7
34 34 7
35 35 7
36 36 7
37 37 7
38 38 7
39 39 7
40 40 7
41 41 7
42 42 7
43 43 7
44 44 7
45 45 7
46 46 6
47 47 6
48 48 6
49 49 6
50 50 6
51 51 6
52 52 7
53 53 7
54 54 7
55 55 7
56 56 7
57 57 7
58 58 6
59 59 6
60 60 6
1 2 2
1 3 2
1 19 1
1 43 1
1 46 1
1 55 1
2 3 2
2 20 1
2 44 1
2 47 1
2 56 1
3 21 1
3 45 1
3 48 1
3 57 1
4 5 2
4 6 2
4 7 1
4 10 1
4 28 1
4 46 1
4 58 1
5 6 2
5 8 1
5 11 1
5 29 1
5 47 1
5 59 1
6 9 1
6 12 1
6 30 1
6 48 1
6 60 1
7 8 2
7 9 2
7 13 1
7 16 1
7 34 1
7 40 1
8 9 2
8 14 1
8 17 1
8 35 1
8 41 1
9 15 1
9 18 1
9 36 1
9 42 1
10 11 2
10 12 2
10 13 1
10 37 1
10 52 1
11 12 2
11 14 1
11 38 1
11 53 1
12 15 1
12 39 1
12 54 1
13 14 2
13 15 2
13 49 1
13 52 1
13 55 1
14 15 2
14 50 1
14 53 1
14 56 1
15 51 1
15 54 1
15 57 1
16 17 2
16 18 2
16 19 1
16 31 1
17 18 2
17 20 1
17 32 1
18 21 1
18 33 1
19 20 2
19 21 2
19 22 1
19 34 1
19 46 1
20 21 2
20 23 1
20 35 1
20 47 1
21 24 1
21 36 1
21 48 1
22 23 2
22 24 2
22 25 1
22 43 1
22 46 1
22 49 1
23 24 2
23 26 1
23 44 1
23 47 1
23 50 1
24 27 1
24 45 1
24 48 1
24 51 1
25 26 2
25 27 2
25 34 1
25 37 1
25 40 1
25 55 1
26 27 2
26 35 1
26 38 1
26 41 1
26 56 1
27 36 1
27 39 1
27 42 1
27 57 1
28 29 2
28 30 2
28 31 1
28 37 1
28 52 1
29 30 2
29 32 1
29 38 1
29 53 1
30 33 1
30 39 1
30 54 1
31 32 2
31 33 2
31 40 1
31 49 1
31 58 1
32 33 2
32 41 1
32 50 1
32 59 1
33 42 1
33 51 1
33 60 1
34 35 2
34 36 2
34 43 1
34 55 1
35 36 2
35 44 1
35 56 1
36 45 1
36 57 1
37 38 2
37 39 2
37 43 1
37 58 1
38 39 2
38 44 1
38 59 1
39 45 1
39 60 1
40 41 2
40 42 2
40 52 1
40 58 1
41 42 2
41 53 1
41 59 1
42 54 1
42 60 1
43 44 2
43 45 2
43 49 1
44 45 2
44 50 1
45 51 1
46 47 2
46 48 2
47 48 2
49 50 2
49 51 2
50 51 2
52 53 2
52 54 2
52 55 1
53 54 2
53 56 1
54 57 1
55 56 2
55 57 2
56 57 2
58 59 2
58 60 2
59 60 2
