96 414
1 1 6
2 2 6
3 3 6
4 4 7
5 5 7
6 6 7
7 7 6
8 8 6
9 9 6
10 10 7
11 11 7
12 12 7
13 13 7
14 14 7
15 15 7
16 16 7
17 17 7
18 18 7
19 19 7
20 20 7
21 21 7
22 22 7
23 23 7
24 24 7
25 25 7
26 26 7
27 27 7
28 28 5
29 29 5
30 30 5
31 31 7
32 32 7
33 33 7
34 34 6
35 35 6
36 36 6
37 37 6
38 38 6
39 39 6
40 40 7
41 41 7
42 42 7
43 43 7
44 44 7
45 45 7
46 46 5
47 47 5
48 48 5
49 49 7
50 50 7
51 51 7
52 52 7
53 53 7
54 54 7
55 55 7
56 56 7
57 57 7
58 58 7
59 59 7
60 60 7
61 61 6
62 62 6
63 63 6
64 64 6
65 65 6
66 66 6
67 67 6
68 68 6
69 69 6
70 70 7
71 71 7
72 72 7
73 73 7
74 74 7
75 75 7
76 76 7
77 77 7
78 78 7
79 79 7
80 80 7
81 81 7
82 82 7
83 83 7
84 84 7
85 85 7
86 86 7
87 87 7
88 88 6
89 89 6
90 90 6
91 91 7
92 92 7
93 93 7
94 94 7
95 95 7
96 96 7
1 2 2
1 3 2
1 67 1
1 70 1
1 76 1
1 85 1
2 3 2
2 68 1
2 71 1
2 77 1
2 86 1
3 69 1
3 72 1
3 78 1
3 87 1
4 5 2
4 6 2
4 13 1
4 22 1
4 28 1
4 46 1
4 49 1
5 6 2
5 14 1
5 23 1
5 29 1
5 47 1
5 50 1
6 15 1
6 24 1
6 30 1
6 48 1
6 51 1
7 8 2
7 9 2
7 10 1
7 16 1
7 70 1
7 76 1
8 9 2
8 11 1
8 17 1
8 71 1
8 77 1
9 12 1
9 18 1
9 72 1
9 78 1
10 11 2
10 12 2
10 16 1
10 22 1
10 70 1
10 79 1
11 12 2
11 17 1
11 23 1
11 71 1
11 80 1
12 18 1
12 24 1
12 72 1
12 81 1
13 14 2
13 15 2
13 31 1
13 82 1
13 91 1
13 94 1
14 15 2
14 32 1
14 83 1
14 92 1
14 95 1
15 33 1
15 84 1
15 93 1
15 96 1
16 17 2
16 18 2
16 34 1
16 55 1
16 61 1
17 18 2
17 35 1
17 56 1
17 62 1
18 36 1
18 57 1
18 63 1
19 20 2
19 21 2
19 31 1
19 37 1
19 49 1
19 70 1
19 94 1
20 21 2
20 32 1
20 38 1
20 50 1
20 71 1
20 95 1
21 33 1
21 39 1
21 51 1
21 72 1
21 96 1
22 23 2
22 24 2
22 43 1
22 76 1
22 82 1
23 24 2
23 44 1
23 77 1
23 83 1
24 45 1
24 78 1
24 84 1
25 26 2
25 27 2
25 28 1
25 37 1
25 67 1
25 73 1
25 94 1
26 27 2
26 29 1
26 38 1
26 68 1
26 74 1
26 95 1
27 30 1
27 39 1
27 69 1
27 75 1
27 96 1
28 29 2
28 30 2
28 79 1
29 30 2
29 80 1
30 81 1
31 32 2
31 33 2
31 46 1
31 49 1
31 70 1
32 33 2
32 47 1
32 50 1
32 71 1
33 48 1
33 51 1
33 72 1
34 35 2
34 36 2
34 73 1
34 88 1
34 91 1
35 36 2
35 74 1
35 89 1
35 92 1
36 75 1
36 90 1
36 93 1
37 38 2
37 39 2
37 58 1
37 73 1
38 39 2
38 59 1
38 74 1
39 60 1
39 75 1
40 41 2
40 42 2
40 49 1
40 64 1
40 79 1
40 82 1
40 85 1
41 42 2
41 50 1
41 65 1
41 80 1
41 83 1
41 86 1
42 51 1
42 66 1
42 81 1
42 84 1
42 87 1
43 44 2
43 45 2
43 58 1
43 64 1
43 88 1
43 91 1
44 45 2
44 59 1
44 65 1
44 89 1
44 92 1
45 60 1
45 66 1
45 90 1
45 93 1
46 47 2
46 48 2
46 79 1
47 48 2
47 80 1
48 81 1
49 50 2
49 51 2
49 64 1
50 51 2
50 65 1
51 66 1
52 53 2
52 54 2
52 55 1
52 58 1
52 67 1
52 82 1
52 85 1
53 54 2
53 56 1
53 59 1
53 68 1
53 83 1
53 86 1
54 57 1
54 60 1
54 69 1
54 84 1
54 87 1
55 56 2
55 57 2
55 58 1
55 76 1
55 88 1
56 57 2
56 59 1
56 77 1
56 89 1
57 60 1
57 78 1
57 90 1
58 59 2
58 60 2
58 67 1
59 60 2
59 68 1
60 69 1
61 62 2
61 63 2
61 64 1
61 82 1
61 85 1
62 63 2
62 65 1
62 83 1
62 86 1
63 66 1
63 84 1
63 87 1
64 65 2
64 66 2
65 66 2
67 68 2
67 69 2
68 69 2
70 71 2
70 72 2
71 72 2
73 74 2
73 75 2
73 76 1
73 91 1
74 75 2
74 77 1
74 92 1
75 78 1
75 93 1
76 77 2
76 78 2
77 78 2
79 80 2
79 81 2
79 88 1
80 81 2
80 89 1
81 90 1
82 83 2
82 84 2
83 84 2
85 86 2
85 87 2
85 94 1
86 87 2
86 95 1
87 96 1
88 89 2
88 90 2
89 90 2
91 92 2
91 93 2
91 94 1
92 93 2
92 95 1
93 96 1
94 95 2
94 96 2
95 96 2
