60 255
1 1 6
2 2 6
3 3 6
4 4 7
5 5 7
6 6 7
7 7 5
8 8 5
9 9 5
10 10 7
11 11 7
12 12 7
13 13 7
14 14 7
15 15 7
16 16 7
17 17 7
18 18 7
19 19 5
20 20 5
21 21 5
22 22 7
23 23 7
24 24 7
25 25 7
26 26 7
27 27 7
28 28 6
29 29 6
30 30 6
31 31 7
32 32 7
33 33 7
34 34 6
35 35 6
36 36 6
37 37 6
38 38 6
39 39 6
40 40 7
41 41 7
42 42 7
43 43 7
44 44 7
45 45 7
46 46 7
47 47 7
48 48 7
49 49 6
50 50 6
51 51 6
52 52 7
53 53 7
54 54 7
55 55 6
56 56 6
57 57 6
58 58 7
59 59 7
60 60 7
1 2 2
1 3 2
1 10 1
1 16 1
1 34 1
1 58 1
2 3 2
2 11 1
2 17 1
2 35 1
2 59 1
3 12 1
3 18 1
3 36 1
3 60 1
4 5 2
4 6 2
4 7 1
4 10 1
4 13 1
4 40 1
4 52 1
5 6 2
5 8 1
5 11 1
5 14 1
5 41 1
5 53 1
6 9 1
6 12 1
6 15 1
6 42 1
6 54 1
7 8 2
7 9 2
7 40 1
7 55 1
8 9 2
8 41 1
8 56 1
9 42 1
9 57 1
10 11 2
10 12 2
10 25 1
10 49 1
10 55 1
11 12 2
11 26 1
11 50 1
11 56 1
12 27 1
12 51 1
12 57 1
13 14 2
13 15 2
13 22 1
13 31 1
13 37 1
13 40 1
14 15 2
14 23 1
14 32 1
14 38 1
14 41 1
15 24 1
15 33 1
15 39 1
15 42 1
16 17 2
16 18 2
16 19 1
16 22 1
16 28 1
16 46 1
17 18 2
17 20 1
17 23 1
17 29 1
17 47 1
18 21 1
18 24 1
18 30 1
18 48 1
19 20 2
19 21 2
19 31 1
19 40 1
20 21 2
20 32 1
20 41 1
21 33 1
21 42 1
22 23 2
22 24 2
22 28 1
22 43 1
22 46 1
23 24 2
23 29 1
23 44 1
23 47 1
24 30 1
24 45 1
24 48 1
25 26 2
25 27 2
25 43 1
25 46 1
25 49 1
25 55 1
26 27 2
26 44 1
26 47 1
26 50 1
26 56 1
27 45 1
27 48 1
27 51 1
27 57 1
28 29 2
28 30 2
28 31 1
28 49 1
29 30 2
29 32 1
29 50 1
30 33 1
30 51 1
31 32 2
31 33 2
31 34 1
31 52 1
32 33 2
32 35 1
32 53 1
33 36 1
33 54 1
34 35 2
34 36 2
34 37 1
34 58 1
35 36 2
35 38 1
35 59 1
36 39 1
36 60 1
37 38 2
37 39 2
37 43 1
37 52 1
38 39 2
38 44 1
38 53 1
39 45 1
39 54 1
40 41 2
40 42 2
40 58 1
41 42 2
41 59 1
42 60 1
43 44 2
43 45 2
43 46 1
43 58 1
44 45 2
44 47 1
44 59 1
45 48 1
45 60 1
46 47 2
46 48 2
46 52 1
47 48 2
47 53 1
48 54 1
49 50 2
49 51 2
49 55 1
50 51 2
50 56 1
51 57 1
52 53 2
52 54 2
52 58 1
53 54 2
53 59 1
54 60 1
55 56 2
55 57 2
56 57 2
58 59 2
58 60 2
59 60 2
