7 12
1 1 5
2 2 5
3 3 5
4 4 6
5 5 6
6 6 6
7 7 6
8 8 6
9 9 6
10 10 5
11 11 5
12 12 5
13 13 5
14 14 5
15 15 5
16 16 5
17 17 5
18 18 5
19 19 6
20 20 6
21 21 6
1 2 1
1 3 1
1 7 1
1 13 1
1 19 1
2 1 1
2 3 1
2 8 1
2 14 1
2 20 1
3 1 1
3 2 1
3 9 1
3 15 1
3 21 1
4 5 1
4 6 1
4 7 1
4 13 1
4 16 1
4 19 1
5 4 1
5 6 1
5 8 1
5 14 1
5 17 1
5 20 1
6 4 1
6 5 1
6 9 1
6 15 1
6 18 1
6 21 1
7 8 1
7 9 1
7 10 1
7 19 1
8 7 1
8 9 1
8 11 1
8 20 1
9 7 1
9 8 1
9 12 1
9 21 1
10 11 1
10 12 1
10 13 1
10 16 1
11 10 1
11 12 1
11 14 1
11 17 1
12 10 1
12 11 1
12 15 1
12 18 1
13 14 1
13 15 1
14 13 1
14 15 1
15 13 1
15 14 1
16 17 1
16 18 1
16 19 1
17 16 1
17 18 1
17 20 1
18 16 1
18 17 1
18 21 1
19 20 1
19 21 1
20 19 1
20 21 1
21 19 1
21 20 1
