42 183
1 1 7
2 2 7
3 3 7
4 4 7
5 5 7
6 6 7
7 7 7
8 8 7
9 9 7
10 10 7
11 11 7
12 12 7
13 13 6
14 14 6
15 15 6
16 16 6
17 17 6
18 18 6
19 19 6
20 20 6
21 21 6
22 22 7
23 23 7
24 24 7
25 25 7
26 26 7
27 27 7
28 28 6
29 29 6
30 30 6
31 31 7
32 32 7
33 33 7
34 34 7
35 35 7
36 36 7
37 37 7
38 38 7
39 39 7
40 40 7
41 41 7
42 42 7
1 2 2
1 3 2
1 16 1
1 25 1
1 28 1
1 37 1
1 40 1
2 3 2
2 17 1
2 26 1
2 29 1
2 38 1
2 41 1
3 18 1
3 27 1
3 30 1
3 39 1
3 42 1
4 5 2
4 6 2
4 10 1
4 13 1
4 16 1
4 22 1
4 25 1
5 6 2
5 11 1
5 14 1
5 17 1
5 23 1
5 26 1
6 12 1
6 15 1
6 18 1
6 24 1
6 27 1
7 8 2
7 9 2
7 10 1
7 16 1
7 19 1
7 34 1
7 40 1
8 9 2
8 11 1
8 17 1
8 20 1
8 35 1
8 41 1
9 12 1
9 18 1
9 21 1
9 36 1
9 42 1
10 11 2
10 12 2
10 31 1
10 34 1
10 37 1
11 12 2
11 32 1
11 35 1
11 38 1
12 33 1
12 36 1
12 39 1
13 14 2
13 15 2
13 28 1
13 37 1
13 40 1
14 15 2
14 29 1
14 38 1
14 41 1
15 30 1
15 39 1
15 42 1
16 17 2
16 18 2
16 22 1
17 18 2
17 23 1
18 24 1
19 20 2
19 21 2
19 22 1
19 31 1
19 34 1
20 21 2
20 23 1
20 32 1
20 35 1
21 24 1
21 33 1
21 36 1
22 23 2
22 24 2
22 25 1
22 31 1
23 24 2
23 26 1
23 32 1
24 27 1
24 33 1
25 26 2
25 27 2
25 28 1
25 37 1
26 27 2
26 29 1
26 38 1
27 30 1
27 39 1
28 29 2
28 30 2
28 31 1
29 30 2
29 32 1
30 33 1
31 32 2
31 33 2
31 34 1
32 33 2
32 35 1
33 36 1
34 35 2
34 36 2
34 40 1
35 36 2
35 41 1
36 42 1
37 38 2
37 39 2
37 40 1
38 39 2
38 41 1
39 42 1
40 41 2
40 42 2
41 42 2
