78 336
1 1 6
2 2 6
3 3 6
4 4 5
5 5 5
6 6 5
7 7 7
8 8 7
9 9 7
10 10 7
11 11 7
12 12 7
13 13 7
14 14 7
15 15 7
16 16 7
17 17 7
18 18 7
19 19 5
20 20 5
21 21 5
22 22 7
23 23 7
24 24 7
25 25 7
26 26 7
27 27 7
28 28 7
29 29 7
30 30 7
31 31 7
32 32 7
33 33 7
34 34 7
35 35 7
36 36 7
37 37 5
38 38 5
39 39 5
40 40 7
41 41 7
42 42 7
43 43 7
44 44 7
45 45 7
46 46 7
47 47 7
48 48 7
49 49 7
50 50 7
51 51 7
52 52 7
53 53 7
54 54 7
55 55 7
56 56 7
57 57 7
58 58 7
59 59 7
60 60 7
61 61 5
62 62 5
63 63 5
64 64 7
65 65 7
66 66 7
67 67 7
68 68 7
69 69 7
70 70 7
71 71 7
72 72 7
73 73 6
74 74 6
75 75 6
76 76 7
77 77 7
78 78 7
1 2 2
1 3 2
1 31 1
1 55 1
1 64 1
1 67 1
2 3 2
2 32 1
2 56 1
2 65 1
2 68 1
3 33 1
3 57 1
3 66 1
3 69 1
4 5 2
4 6 2
4 43 1
4 46 1
4 67 1
5 6 2
5 44 1
5 47 1
5 68 1
6 45 1
6 48 1
6 69 1
7 8 2
7 9 2
7 13 1
7 40 1
7 52 1
7 67 1
7 70 1
8 9 2
8 14 1
8 41 1
8 53 1
8 68 1
8 71 1
9 15 1
9 42 1
9 54 1
9 69 1
9 72 1
10 11 2
10 12 2
10 34 1
10 49 1
10 55 1
10 64 1
10 76 1
11 12 2
11 35 1
11 50 1
11 56 1
11 65 1
11 77 1
12 36 1
12 51 1
12 57 1
12 66 1
12 78 1
13 14 2
13 15 2
13 31 1
13 61 1
13 64 1
13 73 1
14 15 2
14 32 1
14 62 1
14 65 1
14 74 1
15 33 1
15 63 1
15 66 1
15 75 1
16 17 2
16 18 2
16 19 1
16 28 1
16 49 1
16 61 1
16 67 1
17 18 2
17 20 1
17 29 1
17 50 1
17 62 1
17 68 1
18 21 1
18 30 1
18 51 1
18 63 1
18 69 1
19 20 2
19 21 2
19 43 1
19 55 1
20 21 2
20 44 1
20 56 1
21 45 1
21 57 1
22 23 2
22 24 2
22 25 1
22 31 1
22 34 1
22 40 1
22 52 1
23 24 2
23 26 1
23 32 1
23 35 1
23 41 1
23 53 1
24 27 1
24 33 1
24 36 1
24 42 1
24 54 1
25 26 2
25 27 2
25 49 1
25 52 1
25 58 1
25 70 1
26 27 2
26 50 1
26 53 1
26 59 1
26 71 1
27 51 1
27 54 1
27 60 1
27 72 1
28 29 2
28 30 2
28 31 1
28 34 1
28 37 1
28 76 1
29 30 2
29 32 1
29 35 1
29 38 1
29 77 1
30 33 1
30 36 1
30 39 1
30 78 1
31 32 2
31 33 2
31 43 1
32 33 2
32 44 1
33 45 1
34 35 2
34 36 2
34 58 1
34 76 1
35 36 2
35 59 1
35 77 1
36 60 1
36 78 1
37 38 2
37 39 2
37 58 1
37 76 1
38 39 2
38 59 1
38 77 1
39 60 1
39 78 1
40 41 2
40 42 2
40 58 1
40 70 1
40 76 1
41 42 2
41 59 1
41 71 1
41 77 1
42 60 1
42 72 1
42 78 1
43 44 2
43 45 2
43 55 1
43 73 1
44 45 2
44 56 1
44 74 1
45 57 1
45 75 1
46 47 2
46 48 2
46 49 1
46 55 1
46 61 1
46 64 1
47 48 2
47 50 1
47 56 1
47 62 1
47 65 1
48 51 1
48 57 1
48 63 1
48 66 1
49 50 2
49 51 2
49 73 1
50 51 2
50 74 1
51 75 1
52 53 2
52 54 2
52 70 1
52 73 1
53 54 2
53 71 1
53 74 1
54 72 1
54 75 1
55 56 2
55 57 2
56 57 2
58 59 2
58 60 2
58 70 1
59 60 2
59 71 1
60 72 1
61 62 2
61 63 2
62 63 2
64 65 2
64 66 2
64 67 1
65 66 2
65 68 1
66 69 1
67 68 2
67 69 2
68 69 2
70 71 2
70 72 2
71 72 2
73 74 2
73 75 2
74 75 2
76 77 2
76 78 2
77 78 2
