78 336
1 1 7
2 2 7
3 3 7
4 4 7
5 5 7
6 6 7
7 7 7
8 8 7
9 9 7
10 10 6
11 11 6
12 12 6
13 13 6
14 14 6
15 15 6
16 16 7
17 17 7
18 18 7
19 19 6
20 20 6
21 21 6
22 22 7
23 23 7
24 24 7
25 25 7
26 26 7
27 27 7
28 28 6
29 29 6
30 30 6
31 31 6
32 32 6
33 33 6
34 34 5
35 35 5
36 36 5
37 37 6
38 38 6
39 39 6
40 40 7
41 41 7
42 42 7
43 43 7
44 44 7
45 45 7
46 46 7
47 47 7
48 48 7
49 49 7
50 50 7
51 51 7
52 52 5
53 53 5
54 54 5
55 55 7
56 56 7
57 57 7
58 58 7
59 59 7
60 60 7
61 61 7
62 62 7
63 63 7
64 64 7
65 65 7
66 66 7
67 67 7
68 68 7
69 69 7
70 70 7
71 71 7
72 72 7
73 73 7
74 74 7
75 75 7
76 76 7
77 77 7
78 78 7
1 2 2
1 3 2
1 16 1
1 22 1
1 37 1
1 46 1
1 67 1
2 3 2
2 17 1
2 23 1
2 38 1
2 47 1
2 68 1
3 18 1
3 24 1
3 39 1
3 48 1
3 69 1
4 5 2
4 6 2
4 16 1
4 28 1
4 46 1
4 73 1
4 76 1
5 6 2
5 17 1
5 29 1
5 47 1
5 74 1
5 77 1
6 18 1
6 30 1
6 48 1
6 75 1
6 78 1
7 8 2
7 9 2
7 40 1
7 52 1
7 55 1
7 61 1
7 67 1
8 9 2
8 41 1
8 53 1
8 56 1
8 62 1
8 68 1
9 42 1
9 54 1
9 57 1
9 63 1
9 69 1
10 11 2
10 12 2
10 22 1
10 34 1
10 49 1
10 64 1
11 12 2
11 23 1
11 35 1
11 50 1
11 65 1
12 24 1
12 36 1
12 51 1
12 66 1
13 14 2
13 15 2
13 19 1
13 52 1
13 61 1
13 64 1
14 15 2
14 20 1
14 53 1
14 62 1
14 65 1
15 21 1
15 54 1
15 63 1
15 66 1
16 17 2
16 18 2
16 22 1
16 31 1
16 40 1
17 18 2
17 23 1
17 32 1
17 41 1
18 24 1
18 33 1
18 42 1
19 20 2
19 21 2
19 25 1
19 64 1
19 70 1
20 21 2
20 26 1
20 65 1
20 71 1
21 27 1
21 66 1
21 72 1
22 23 2
22 24 2
22 55 1
22 58 1
23 24 2
23 56 1
23 59 1
24 57 1
24 60 1
25 26 2
25 27 2
25 28 1
25 31 1
25 43 1
25 49 1
26 27 2
26 29 1
26 32 1
26 44 1
26 50 1
27 30 1
27 33 1
27 45 1
27 51 1
28 29 2
28 30 2
28 67 1
28 70 1
29 30 2
29 68 1
29 71 1
30 69 1
30 72 1
31 32 2
31 33 2
31 55 1
31 76 1
32 33 2
32 56 1
32 77 1
33 57 1
33 78 1
34 35 2
34 36 2
34 58 1
34 61 1
35 36 2
35 59 1
35 62 1
36 60 1
36 63 1
37 38 2
37 39 2
37 40 1
37 43 1
37 58 1
38 39 2
38 41 1
38 44 1
38 59 1
39 42 1
39 45 1
39 60 1
40 41 2
40 42 2
40 64 1
40 73 1
41 42 2
41 65 1
41 74 1
42 66 1
42 75 1
43 44 2
43 45 2
43 64 1
43 73 1
43 76 1
44 45 2
44 65 1
44 74 1
44 77 1
45 66 1
45 75 1
45 78 1
46 47 2
46 48 2
46 55 1
46 67 1
46 70 1
47 48 2
47 56 1
47 68 1
47 71 1
48 57 1
48 69 1
48 72 1
49 50 2
49 51 2
49 52 1
49 61 1
49 73 1
50 51 2
50 53 1
50 62 1
50 74 1
51 54 1
51 63 1
51 75 1
52 53 2
52 54 2
53 54 2
55 56 2
55 57 2
55 58 1
56 57 2
56 59 1
57 60 1
58 59 2
58 60 2
58 70 1
59 60 2
59 71 1
60 72 1
61 62 2
61 63 2
61 73 1
62 63 2
62 74 1
63 75 1
64 65 2
64 66 2
65 66 2
67 68 2
67 69 2
67 76 1
68 69 2
68 77 1
69 78 1
70 71 2
70 72 2
70 76 1
71 72 2
71 77 1
72 78 1
73 74 2
73 75 2
74 75 2
76 77 2
76 78 2
77 78 2
