120 528
1 1 7
2 2 7
3 3 7
4 4 7
5 5 7
6 6 7
7 7 7
8 8 7
9 9 7
10 10 6
11 11 6
12 12 6
13 13 5
14 14 5
15 15 5
16 16 7
17 17 7
18 18 7
19 19 7
20 20 7
21 21 7
22 22 7
23 23 7
24 24 7
25 25 7
26 26 7
27 27 7
28 28 7
29 29 7
30 30 7
31 31 6
32 32 6
33 33 6
34 34 7
35 35 7
36 36 7
37 37 7
38 38 7
39 39 7
40 40 7
41 41 7
42 42 7
43 43 7
44 44 7
45 45 7
46 46 7
47 47 7
48 48 7
49 49 6
50 50 6
51 51 6
52 52 7
53 53 7
54 54 7
55 55 7
56 56 7
57 57 7
58 58 7
59 59 7
60 60 7
61 61 7
62 62 7
63 63 7
64 64 7
65 65 7
66 66 7
67 67 7
68 68 7
69 69 7
70 70 7
71 71 7
72 72 7
73 73 7
74 74 7
75 75 7
76 76 7
77 77 7
78 78 7
79 79 7
80 80 7
81 81 7
82 82 7
83 83 7
84 84 7
85 85 7
86 86 7
87 87 7
88 88 7
89 89 7
90 90 7
91 91 6
92 92 6
93 93 6
94 94 7
95 95 7
96 96 7
97 97 7
98 98 7
99 99 7
100 100 6
101 101 6
102 102 6
103 103 7
104 104 7
105 105 7
106 106 7
107 107 7
108 108 7
109 109 7
110 110 7
111 111 7
112 112 6
113 113 6
114 114 6
115 115 7
116 116 7
117 117 7
118 118 7
119 119 7
120 120 7
1 2 2
1 3 2
1 19 1
1 37 1
1 79 1
1 88 1
1 112 1
2 3 2
2 20 1
2 38 1
2 80 1
2 89 1
2 113 1
3 21 1
3 39 1
3 81 1
3 90 1
3 114 1
4 5 2
4 6 2
4 7 1
4 31 1
4 43 1
4 46 1
4 85 1
5 6 2
5 8 1
5 32 1
5 44 1
5 47 1
5 86 1
6 9 1
6 33 1
6 45 1
6 48 1
6 87 1
7 8 2
7 9 2
7 28 1
7 103 1
7 106 1
7 118 1
8 9 2
8 29 1
8 104 1
8 107 1
8 119 1
9 30 1
9 105 1
9 108 1
9 120 1
10 11 2
10 12 2
10 46 1
10 97 1
10 100 1
10 103 1
11 12 2
11 47 1
11 98 1
11 101 1
11 104 1
12 48 1
12 99 1
12 102 1
12 105 1
13 14 2
13 15 2
13 52 1
13 61 1
13 76 1
14 15 2
14 53 1
14 62 1
14 77 1
15 54 1
15 63 1
15 78 1
16 17 2
16 18 2
16 31 1
16 49 1
16 58 1
16 70 1
16 91 1
17 18 2
17 32 1
17 50 1
17 59 1
17 71 1
17 92 1
18 33 1
18 51 1
18 60 1
18 72 1
18 93 1
19 20 2
19 21 2
19 25 1
19 37 1
19 55 1
19 112 1
20 21 2
20 26 1
20 38 1
20 56 1
20 113 1
21 27 1
21 39 1
21 57 1
21 114 1
22 23 2
22 24 2
22 28 1
22 61 1
22 85 1
22 94 1
22 118 1
23 24 2
23 29 1
23 62 1
23 86 1
23 95 1
23 119 1
24 30 1
24 63 1
24 87 1
24 96 1
24 120 1
25 26 2
25 27 2
25 43 1
25 58 1
25 115 1
25 118 1
26 27 2
26 44 1
26 59 1
26 116 1
26 119 1
27 45 1
27 60 1
27 117 1
27 120 1
28 29 2
28 30 2
28 40 1
28 67 1
28 97 1
29 30 2
29 41 1
29 68 1
29 98 1
30 42 1
30 69 1
30 99 1
31 32 2
31 33 2
31 76 1
31 88 1
32 33 2
32 77 1
32 89 1
33 78 1
33 90 1
34 35 2
34 36 2
34 43 1
34 85 1
34 88 1
34 103 1
34 112 1
35 36 2
35 44 1
35 86 1
35 89 1
35 104 1
35 113 1
36 45 1
36 87 1
36 90 1
36 105 1
36 114 1
37 38 2
37 39 2
37 40 1
37 61 1
37 106 1
38 39 2
38 41 1
38 62 1
38 107 1
39 42 1
39 63 1
39 108 1
40 41 2
40 42 2
40 52 1
40 61 1
40 115 1
41 42 2
41 53 1
41 62 1
41 116 1
42 54 1
42 63 1
42 117 1
43 44 2
43 45 2
43 100 1
43 106 1
44 45 2
44 101 1
44 107 1
45 102 1
45 108 1
46 47 2
46 48 2
46 61 1
46 64 1
46 67 1
47 48 2
47 62 1
47 65 1
47 68 1
48 63 1
48 66 1
48 69 1
49 50 2
49 51 2
49 58 1
49 67 1
49 97 1
50 51 2
50 59 1
50 68 1
50 98 1
51 60 1
51 69 1
51 99 1
52 53 2
52 54 2
52 55 1
52 70 1
52 88 1
53 54 2
53 56 1
53 71 1
53 89 1
54 57 1
54 72 1
54 90 1
55 56 2
55 57 2
55 85 1
55 94 1
55 103 1
56 57 2
56 86 1
56 95 1
56 104 1
57 87 1
57 96 1
57 105 1
58 59 2
58 60 2
58 64 1
58 106 1
59 60 2
59 65 1
59 107 1
60 66 1
60 108 1
61 62 2
61 63 2
62 63 2
64 65 2
64 66 2
64 82 1
64 97 1
64 100 1
65 66 2
65 83 1
65 98 1
65 101 1
66 84 1
66 99 1
66 102 1
67 68 2
67 69 2
67 79 1
67 91 1
68 69 2
68 80 1
68 92 1
69 81 1
69 93 1
70 71 2
70 72 2
70 109 1
70 112 1
70 115 1
71 72 2
71 110 1
71 113 1
71 116 1
72 111 1
72 114 1
72 117 1
73 74 2
73 75 2
73 76 1
73 79 1
73 82 1
73 106 1
73 115 1
74 75 2
74 77 1
74 80 1
74 83 1
74 107 1
74 116 1
75 78 1
75 81 1
75 84 1
75 108 1
75 117 1
76 77 2
76 78 2
76 91 1
76 109 1
77 78 2
77 92 1
77 110 1
78 93 1
78 111 1
79 80 2
79 81 2
79 82 1
79 103 1
80 81 2
80 83 1
80 104 1
81 84 1
81 105 1
82 83 2
82 84 2
82 91 1
82 109 1
83 84 2
83 92 1
83 110 1
84 93 1
84 111 1
85 86 2
85 87 2
85 109 1
86 87 2
86 110 1
87 111 1
88 89 2
88 90 2
88 94 1
89 90 2
89 95 1
90 96 1
91 92 2
91 93 2
92 93 2
94 95 2
94 96 2
94 109 1
94 115 1
95 96 2
95 110 1
95 116 1
96 111 1
96 117 1
97 98 2
97 99 2
97 118 1
98 99 2
98 119 1
99 120 1
100 101 2
100 102 2
100 118 1
101 102 2
101 119 1
102 120 1
103 104 2
103 105 2
104 105 2
106 107 2
106 108 2
107 108 2
109 110 2
109 111 2
110 111 2
112 113 2
112 114 2
113 114 2
115 116 2
115 117 2
116 117 2
118 119 2
118 120 2
119 120 2
