42 183
1 1 6
2 2 6
3 3 6
4 4 6
5 5 6
6 6 6
7 7 7
8 8 7
9 9 7
10 10 6
11 11 6
12 12 6
13 13 7
14 14 7
15 15 7
16 16 7
17 17 7
18 18 7
19 19 7
20 20 7
21 21 7
22 22 7
23 23 7
24 24 7
25 25 7
26 26 7
27 27 7
28 28 7
29 29 7
30 30 7
31 31 7
32 32 7
33 33 7
34 34 7
35 35 7
36 36 7
37 37 6
38 38 6
39 39 6
40 40 7
41 41 7
42 42 7
1 2 2
1 3 2
1 25 1
1 34 1
1 37 1
1 40 1
2 3 2
2 26 1
2 35 1
2 38 1
2 41 1
3 27 1
3 36 1
3 39 1
3 42 1
4 5 2
4 6 2
4 22 1
4 25 1
4 28 1
4 31 1
5 6 2
5 23 1
5 26 1
5 29 1
5 32 1
6 24 1
6 27 1
6 30 1
6 33 1
7 8 2
7 9 2
7 13 1
7 22 1
7 25 1
7 34 1
7 40 1
8 9 2
8 14 1
8 23 1
8 26 1
8 35 1
8 41 1
9 15 1
9 24 1
9 27 1
9 36 1
9 42 1
10 11 2
10 12 2
10 22 1
10 28 1
10 34 1
10 40 1
11 12 2
11 23 1
11 29 1
11 35 1
11 41 1
12 24 1
12 30 1
12 36 1
12 42 1
13 14 2
13 15 2
13 19 1
13 25 1
13 31 1
13 37 1
14 15 2
14 20 1
14 26 1
14 32 1
14 38 1
15 21 1
15 27 1
15 33 1
15 39 1
16 17 2
16 18 2
16 28 1
16 31 1
16 34 1
16 37 1
16 40 1
17 18 2
17 29 1
17 32 1
17 35 1
17 38 1
17 41 1
18 30 1
18 33 1
18 36 1
18 39 1
18 42 1
19 20 2
19 21 2
19 22 1
19 28 1
19 34 1
19 37 1
20 21 2
20 23 1
20 29 1
20 35 1
20 38 1
21 24 1
21 30 1
21 36 1
21 39 1
22 23 2
22 24 2
22 28 1
23 24 2
23 29 1
24 30 1
25 26 2
25 27 2
25 31 1
26 27 2
26 32 1
27 33 1
28 29 2
28 30 2
29 30 2
31 32 2
31 33 2
31 40 1
32 33 2
32 41 1
33 42 1
34 35 2
34 36 2
35 36 2
37 38 2
37 39 2
38 39 2
40 41 2
40 42 2
41 42 2
