60 258
1 1 6
2 2 6
3 3 6
4 4 7
5 5 7
6 6 7
7 7 7
8 8 7
9 9 7
10 10 7
11 11 7
12 12 7
13 13 5
14 14 5
15 15 5
16 16 7
17 17 7
18 18 7
19 19 7
20 20 7
21 21 7
22 22 7
23 23 7
24 24 7
25 25 7
26 26 7
27 27 7
28 28 7
29 29 7
30 30 7
31 31 7
32 32 7
33 33 7
34 34 7
35 35 7
36 36 7
37 37 7
38 38 7
39 39 7
40 40 7
41 41 7
42 42 7
43 43 6
44 44 6
45 45 6
46 46 5
47 47 5
48 48 5
49 49 6
50 50 6
51 51 6
52 52 7
53 53 7
54 54 7
55 55 6
56 56 6
57 57 6
58 58 7
59 59 7
60 60 7
1 2 2
1 3 2
1 22 1
1 37 1
1 40 1
1 43 1
2 3 2
2 23 1
2 38 1
2 41 1
2 44 1
3 24 1
3 39 1
3 42 1
3 45 1
4 5 2
4 6 2
4 25 1
4 34 1
4 37 1
4 40 1
4 52 1
5 6 2
5 26 1
5 35 1
5 38 1
5 41 1
5 53 1
6 27 1
6 36 1
6 39 1
6 42 1
6 54 1
7 8 2
7 9 2
7 13 1
7 28 1
7 34 1
7 43 1
7 52 1
8 9 2
8 14 1
8 29 1
8 35 1
8 44 1
8 53 1
9 15 1
9 30 1
9 36 1
9 45 1
9 54 1
10 11 2
10 12 2
10 16 1
10 25 1
10 31 1
10 40 1
10 58 1
11 12 2
11 17 1
11 26 1
11 32 1
11 41 1
11 59 1
12 18 1
12 27 1
12 33 1
12 42 1
12 60 1
13 14 2
13 15 2
13 49 1
13 58 1
14 15 2
14 50 1
14 59 1
15 51 1
15 60 1
16 17 2
16 18 2
16 25 1
16 37 1
16 52 1
16 55 1
17 18 2
17 26 1
17 38 1
17 53 1
17 56 1
18 27 1
18 39 1
18 54 1
18 57 1
19 20 2
19 21 2
19 34 1
19 40 1
19 43 1
19 46 1
19 49 1
20 21 2
20 35 1
20 41 1
20 44 1
20 47 1
20 50 1
21 36 1
21 42 1
21 45 1
21 48 1
21 51 1
22 23 2
22 24 2
22 46 1
22 49 1
22 55 1
22 58 1
23 24 2
23 47 1
23 50 1
23 56 1
23 59 1
24 48 1
24 51 1
24 57 1
24 60 1
25 26 2
25 27 2
25 31 1
25 49 1
26 27 2
26 32 1
26 50 1
27 33 1
27 51 1
28 29 2
28 30 2
28 31 1
28 34 1
28 46 1
28 58 1
29 30 2
29 32 1
29 35 1
29 47 1
29 59 1
30 33 1
30 36 1
30 48 1
30 60 1
31 32 2
31 33 2
31 34 1
31 40 1
32 33 2
32 35 1
32 41 1
33 36 1
33 42 1
34 35 2
34 36 2
35 36 2
37 38 2
37 39 2
37 52 1
37 55 1
38 39 2
38 53 1
38 56 1
39 54 1
39 57 1
40 41 2
40 42 2
41 42 2
43 44 2
43 45 2
43 55 1
44 45 2
44 56 1
45 57 1
46 47 2
46 48 2
47 48 2
49 50 2
49 51 2
50 51 2
52 53 2
52 54 2
52 58 1
53 54 2
53 59 1
54 60 1
55 56 2
55 57 2
56 57 2
58 59 2
58 60 2
59 60 2
